Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Time
SEA,LIH,2019-12-19,534,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-19,534,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-19,541,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-19,559,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-19,573,1,(LAX),21.42,5:21p - 12:46p
SEA,LIH,2019-12-19,573,1,(LAX),27.48,8:00p - 9:29p
SEA,LIH,2019-12-19,574,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-19,577,1,(PHX),23.65,5:55p - 3:34p
SEA,LIH,2019-12-19,577,1,(PHX),26.65,2:55p - 3:34p
SEA,LIH,2019-12-19,577,1,(PHX),33.32,8:15a - 3:34p
SEA,LIH,2019-12-19,579,1,(LAX),13.07,10:25a - 9:29p
SEA,LIH,2019-12-19,579,1,(LAX),13.83,9:00a - 8:50p
SEA,LIH,2019-12-19,579,1,(PHX),16.18,5:00a - 7:11p
SEA,LIH,2019-12-20,559,1,(LAX),13.83,9:00a - 8:50p
SEA,LIH,2019-12-20,559,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-20,573,1,(LAX),27.48,8:00p - 9:29p
SEA,LIH,2019-12-20,627,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-20,627,1,(LAX),10.32,5:50a - 2:09p
SEA,LIH,2019-12-20,669,1,(SFO),14.92,7:50a - 8:45p
SEA,LIH,2019-12-20,673,2,"(SFO, HNL)",15.08,7:50a - 8:55p
SEA,LIH,2019-12-20,683,1,(LAX),13.07,10:25a - 9:29p
SEA,LIH,2019-12-20,683,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-20,700,1,(LAX),21.42,5:21p - 12:46p
SEA,LIH,2019-12-20,702,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-20,702,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-20,713,1,(HNL),22.98,9:05a - 6:04a
SEA,LIH,2019-12-20,717,1,(HNL),23.77,9:05a - 6:51a
SEA,LIH,2019-12-20,721,1,(HNL),14.38,9:05a - 9:28p
SEA,LIH,2019-12-20,721,1,(HNL),14.38,9:05a - 9:28p
SEA,LIH,2019-12-20,728,1,(HNL),25.23,9:05a - 8:19a
SEA,LIH,2019-12-20,733,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-20,733,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-20,736,1,(HNL),13.83,9:05a - 8:55p
SEA,LIH,2019-12-21,559,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-21,573,1,(LAX),21.42,5:21p - 12:46p
SEA,LIH,2019-12-21,577,1,(PHX),27.27,5:55p - 7:11p
SEA,LIH,2019-12-21,683,1,(SFO),30.38,4:22p - 8:45p
SEA,LIH,2019-12-21,685,1,(LAX),27.83,7:00p - 8:50p
SEA,LIH,2019-12-21,698,1,(HNL),14.57,5:30p - 6:04a
SEA,LIH,2019-12-21,704,1,(PHX),23.65,5:55p - 3:34p
SEA,LIH,2019-12-21,712,1,(HNL),19.55,5:30p - 11:03a
SEA,LIH,2019-12-21,722,1,(HNL),21.50,5:30p - 1:00p
SEA,LIH,2019-12-21,739,1,(LAX),20.02,7:00p - 1:01p
SEA,LIH,2019-12-21,757,1,(LAX),25.77,1:15p - 1:01p
SEA,LIH,2019-12-21,766,1,(LAX),20.17,7:00p - 1:10p
SEA,LIH,2019-12-21,816,2,"(PHX, HNL)",16.35,8:15a - 10:36p
SEA,LIH,2019-12-21,818,1,(LAX),13.07,10:25a - 9:29p
SEA,LIH,2019-12-21,859,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-21,862,1,(LAX),17.83,9:20p - 1:10p
SEA,LIH,2019-12-21,868,1,(LAX),10.32,5:50a - 2:09p
SEA,LIH,2019-12-21,899,2,"(DFW, LAX)",15.82,12:20a - 2:09p
SEA,LIH,2019-12-21,901,1,(LAX),13.83,9:00a - 8:50p
SEA,LIH,2019-12-21,905,2,"(SFO, HNL)",14.08,7:50a - 7:55p
SEA,LIH,2019-12-22,492,1,(LAX),27.48,8:00p - 9:29p
SEA,LIH,2019-12-22,501,1,(SFO),27.42,7:20p - 8:45p
SEA,LIH,2019-12-22,502,1,(LAX),27.83,7:00p - 8:50p
SEA,LIH,2019-12-22,559,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-22,559,1,(LAX),20.02,7:00p - 1:01p
SEA,LIH,2019-12-22,571,1,(LAX),17.83,9:20p - 1:10p
SEA,LIH,2019-12-22,573,1,(LAX),25.77,1:15p - 1:01p
SEA,LIH,2019-12-22,579,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-22,586,1,(OAK),0.28,9:40p - 12:40p
SEA,LIH,2019-12-22,594,1,(LAX),21.42,5:21p - 12:46p
SEA,LIH,2019-12-22,598,1,(PHX),23.65,5:55p - 3:34p
SEA,LIH,2019-12-22,598,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-22,598,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-22,604,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-22,627,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-22,627,1,(LAX),10.32,5:50a - 2:09p
SEA,LIH,2019-12-22,627,1,(PHX),12.93,8:15a - 7:11p
SEA,LIH,2019-12-22,654,1,(HNL),11.42,9:05a - 6:30p
SEA,LIH,2019-12-22,654,1,(HNL),11.42,9:05a - 6:30p
