Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Departure,Arrival,Carrier
LIH,SEA,2019-12-15,328,1,(SAN),22.33,2:00p,2:20p,Alaska Airlines
LIH,SEA,2019-12-15,328,1,(HNL),13.55,6:32a,10:05p,Hawaiian Airlines
LIH,SEA,2019-12-15,328,1,(HNL),13.55,6:32a,10:05p,Hawaiian Airlines
LIH,HNL,2019-12-14,81,0,(),0.62,11:05p,11:42p,Hawaiian Airlines
LIH,HNL,2019-12-14,81,0,(),0.62,11:05p,11:42p,Hawaiian Airlines
LIH,HNL,2019-12-14,85,0,(),0.58,8:25p,9:00p,Hawaiian Airlines
LIH,HNL,2019-12-14,85,0,(),0.58,8:25p,9:00p,Hawaiian Airlines
LIH,HNL,2019-12-14,85,0,(),0.58,9:23p,9:58p,Hawaiian Airlines
LIH,HNL,2019-12-14,85,0,(),0.58,9:23p,9:58p,Hawaiian Airlines
LIH,HNL,2019-12-14,85,0,(),0.62,4:59p,5:36p,Hawaiian Airlines
LIH,HNL,2019-12-14,85,0,(),0.62,4:59p,5:36p,Hawaiian Airlines
LIH,HNL,2019-12-14,85,0,(),0.60,6:32a,7:08a,Hawaiian Airlines
LIH,HNL,2019-12-14,85,0,(),0.60,6:32a,7:08a,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.60,5:35p,6:11p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.60,5:35p,6:11p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.60,6:15p,6:51p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.60,6:15p,6:51p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.60,6:35p,7:11p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.60,6:35p,7:11p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.62,4:15p,4:52p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.62,4:15p,4:52p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.62,7:00p,7:37p,Hawaiian Airlines
LIH,HNL,2019-12-14,96,0,(),0.62,7:00p,7:37p,Hawaiian Airlines
LIH,HNL,2019-12-15,81,0,(),0.62,11:05p,11:42p,Hawaiian Airlines
LIH,HNL,2019-12-15,81,0,(),0.62,11:05p,11:42p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.58,8:25p,9:00p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.58,8:25p,9:00p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.58,9:23p,9:58p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.58,9:23p,9:58p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.58,9:56p,10:31p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.58,9:56p,10:31p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.62,4:59p,5:36p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.62,4:59p,5:36p,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.60,6:32a,7:08a,Hawaiian Airlines
LIH,HNL,2019-12-15,85,0,(),0.60,6:32a,7:08a,Hawaiian Airlines
LIH,HNL,2019-12-15,101,0,(),0.60,5:35p,6:11p,Hawaiian Airlines
LIH,HNL,2019-12-15,101,0,(),0.60,5:35p,6:11p,Hawaiian Airlines
LIH,HNL,2019-12-15,101,0,(),0.60,6:15p,6:51p,Hawaiian Airlines
LIH,HNL,2019-12-15,101,0,(),0.60,6:15p,6:51p,Hawaiian Airlines
LIH,HNL,2019-12-15,101,0,(),0.60,6:35p,7:11p,Hawaiian Airlines
